ID,sire,dam
a29369,a28452,a28569
a29370,a28405,a28556
a29371,a28456,a28533
a29372,a28452,a28547
a29373,a28473,a28565
a29374,a28461,a28532
a29375,a28493,a28510
a29376,a28494,a28534
a29377,a28458,a28541
a29378,a28486,a28554
a29379,a28490,a28513
a29380,a28497,a28512
a29381,a28453,a28585
a29382,a28436,a28506
a29383,a28457,a28506
a29384,a28408,a28543
a29385,a28413,a28559
a29386,a28412,a28543
a29387,a28445,a28567
a29388,a28462,a28519
a29389,a28493,a28569
a29390,a28477,a28556
a29391,a28459,a28502
a29392,a28445,a28501
a29393,a28416,a28525
a29394,a28490,a28589
a29395,a28427,a28504
a29396,a28462,a28583
a29397,a28412,a28512
a29398,a28406,a28535
a29399,a28445,a28529
a29400,a28414,a28524
a29401,a28408,a28587
a29402,a28427,a28592
a29403,a28416,a28548
a29404,a28479,a28511
a29405,a28401,a28524
a29406,a28490,a28584
a29407,a28463,a28535
a29408,a28402,a28561
a29409,a28464,a28527
a29410,a28486,a28553
a29411,a28455,a28547
a29412,a28437,a28519
a29413,a28425,a28590
a29414,a28434,a28569
a29415,a28469,a28528
a29416,a28456,a28550
a29417,a28480,a28539
a29418,a28422,a28593
a29419,a28461,a28561
a29420,a28486,a28502
a29421,a28457,a28510
a29422,a28493,a28525
a29423,a28496,a28545
a29424,a28498,a28524
a29425,a28495,a28567
a29426,a28431,a28547
a29427,a28420,a28530
a29428,a28427,a28503
a29429,a28420,a28533
a29430,a28492,a28517
a29431,a28426,a28550
a29432,a28422,a28514
a29433,a28500,a28536
a29434,a28418,a28558
a29435,a28475,a28551
a29436,a28450,a28501
a29437,a28414,a28550
a29438,a28438,a28555
a29439,a28421,a28562
a29440,a28437,a28568
a29441,a28468,a28517
a29442,a28466,a28539
a29443,a28425,a28584
a29444,a28469,a28595
a29445,a28426,a28545
a29446,a28450,a28520
a29447,a28440,a28576
a29448,a28475,a28521
a29449,a28459,a28538
a29450,a28472,a28513
a29451,a28476,a28542
a29452,a28481,a28583
a29453,a28488,a28505
a29454,a28426,a28554
a29455,a28403,a28555
a29456,a28478,a28577
a29457,a28447,a28551
a29458,a28477,a28580
a29459,a28434,a28505
a29460,a28465,a28521
a29461,a28460,a28541
a29462,a28422,a28579
a29463,a28431,a28598
a29464,a28475,a28553
a29465,a28467,a28553
a29466,a28435,a28558
a29467,a28466,a28507
a29468,a28401,a28556
a29469,a28403,a28551
a29470,a28410,a28501
a29471,a28429,a28528
a29472,a28405,a28586
a29473,a28494,a28505
a29474,a28480,a28557
a29475,a28472,a28508
a29476,a28471,a28560
a29477,a28465,a28543
a29478,a28451,a28582
a29479,a28498,a28574
a29480,a28498,a28557
a29481,a28480,a28554
a29482,a28493,a28504
a29483,a28413,a28529
a29484,a28497,a28528
a29485,a28472,a28514
a29486,a28452,a28567
a29487,a28440,a28581
a29488,a28470,a28542
a29489,a28472,a28514
a29490,a28497,a28561
a29491,a28423,a28554
a29492,a28431,a28535
a29493,a28452,a28587
a29494,a28457,a28524
a29495,a28434,a28510
a29496,a28484,a28584
a29497,a28443,a28569
a29498,a28499,a28569
a29499,a28442,a28517
a29500,a28497,a28526
a29501,a28453,a28546
a29502,a28418,a28546
a29503,a28409,a28544
a29504,a28472,a28600
a29505,a28421,a28556
a29506,a28436,a28566
a29507,a28464,a28596
a29508,a28477,a28537
a29509,a28414,a28535
a29510,a28412,a28518
a29511,a28423,a28505
a29512,a28406,a28598
a29513,a28441,a28596
a29514,a28460,a28558
a29515,a28500,a28547
a29516,a28472,a28501
a29517,a28485,a28594
a29518,a28464,a28592
a29519,a28415,a28578
a29520,a28411,a28530
a29521,a28463,a28588
a29522,a28434,a28530
a29523,a28463,a28543
a29524,a28401,a28506
a29525,a28500,a28593
a29526,a28444,a28556
a29527,a28444,a28503
a29528,a28440,a28531
a29529,a28439,a28578
a29530,a28438,a28563
a29531,a28448,a28560
a29532,a28413,a28538
a29533,a28420,a28527
a29534,a28414,a28518
a29535,a28465,a28544
a29536,a28427,a28583
a29537,a28418,a28599
a29538,a28460,a28560
a29539,a28432,a28539
a29540,a28461,a28545
a29541,a28469,a28574
a29542,a28449,a28571
a29543,a28482,a28591
a29544,a28437,a28540
a29545,a28471,a28507
a29546,a28476,a28561
a29547,a28466,a28535
a29548,a28403,a28537
a29549,a28442,a28558
a29550,a28454,a28507
a29551,a28406,a28565
a29552,a28428,a28569
a29553,a28483,a28544
a29554,a28439,a28596
a29555,a28484,a28550
a29556,a28497,a28539
a29557,a28433,a28506
a29558,a28481,a28504
a29559,a28438,a28535
a29560,a28409,a28524
a29561,a28473,a28556
a29562,a28493,a28540
a29563,a28443,a28549
a29564,a28450,a28509
a29565,a28492,a28569
a29566,a28424,a28511
a29567,a28475,a28575
a29568,a28494,a28569
a29569,a28444,a28539
a29570,a28413,a28557
a29571,a28483,a28577
a29572,a28421,a28579
a29573,a28491,a28525
a29574,a28417,a28597
a29575,a28476,a28541
a29576,a28479,a28596
a29577,a28420,a28508
a29578,a28409,a28513
a29579,a28461,a28578
a29580,a28413,a28558
a29581,a28424,a28504
a29582,a28447,a28561
a29583,a28447,a28586
a29584,a28486,a28579
a29585,a28452,a28589
a29586,a28454,a28572
a29587,a28440,a28562
a29588,a28404,a28535
a29589,a28431,a28525
a29590,a28465,a28560
a29591,a28487,a28572
a29592,a28443,a28593
a29593,a28464,a28553
a29594,a28409,a28501
a29595,a28431,a28597
a29596,a28427,a28598
a29597,a28459,a28560
a29598,a28407,a28579
a29599,a28414,a28530
a29600,a28436,a28583
a29601,a28474,a28583
a29602,a28415,a28533
a29603,a28463,a28506
a29604,a28485,a28511
a29605,a28486,a28548
a29606,a28436,a28501
a29607,a28410,a28534
a29608,a28451,a28548
a29609,a28443,a28524
a29610,a28429,a28539
a29611,a28486,a28556
a29612,a28467,a28528
a29613,a28454,a28540
a29614,a28425,a28550
a29615,a28479,a28513
a29616,a28472,a28538
a29617,a28475,a28508
a29618,a28472,a28545
a29619,a28403,a28573
a29620,a28451,a28529
a29621,a28423,a28511
a29622,a28497,a28567
a29623,a28466,a28590
a29624,a28476,a28578
a29625,a28405,a28598
a29626,a28494,a28545
a29627,a28472,a28597
a29628,a28470,a28536
a29629,a28486,a28530
a29630,a28473,a28541
a29631,a28474,a28588
a29632,a28434,a28508
a29633,a28417,a28583
a29634,a28469,a28550
a29635,a28484,a28593
a29636,a28465,a28551
a29637,a28452,a28510
a29638,a28417,a28578
a29639,a28484,a28551
a29640,a28414,a28529
a29641,a28424,a28577
a29642,a28464,a28569
a29643,a28457,a28533
a29644,a28408,a28549
a29645,a28498,a28525
a29646,a28416,a28537
a29647,a28466,a28574
a29648,a28442,a28553
a29649,a28461,a28530
a29650,a28425,a28579
a29651,a28475,a28576
a29652,a28462,a28600
a29653,a28494,a28547
a29654,a28401,a28534
a29655,a28457,a28501
a29656,a28475,a28542
a29657,a28500,a28507
a29658,a28416,a28597
a29659,a28423,a28594
a29660,a28444,a28553
a29661,a28448,a28578
a29662,a28482,a28527
a29663,a28447,a28598
a29664,a28426,a28552
a29665,a28486,a28563
a29666,a28437,a28564
a29667,a28401,a28592
a29668,a28498,a28512
a29669,a28423,a28585
a29670,a28408,a28542
a29671,a28498,a28578
a29672,a28460,a28530
a29673,a28418,a28560
a29674,a28434,a28571
a29675,a28441,a28590
a29676,a28440,a28549
a29677,a28418,a28569
a29678,a28451,a28563
a29679,a28469,a28563
a29680,a28486,a28566
a29681,a28424,a28513
a29682,a28473,a28519
a29683,a28482,a28598
a29684,a28492,a28543
a29685,a28471,a28528
a29686,a28497,a28572
a29687,a28405,a28514
a29688,a28432,a28512
a29689,a28473,a28543
a29690,a28422,a28502
a29691,a28459,a28564
a29692,a28452,a28513
a29693,a28425,a28541
a29694,a28481,a28517
a29695,a28465,a28545
a29696,a28439,a28544
a29697,a28500,a28508
a29698,a28443,a28503
a29699,a28443,a28556
a29700,a28407,a28550
a29701,a28479,a28516
a29702,a28411,a28539
a29703,a28415,a28517
a29704,a28448,a28573
a29705,a28468,a28574
a29706,a28403,a28586
a29707,a28463,a28545
a29708,a28461,a28559
a29709,a28459,a28546
a29710,a28420,a28581
a29711,a28484,a28505
a29712,a28439,a28540
a29713,a28468,a28533
a29714,a28482,a28532
a29715,a28417,a28529
a29716,a28481,a28598
a29717,a28433,a28584
a29718,a28442,a28597
a29719,a28447,a28597
a29720,a28481,a28543
a29721,a28433,a28528
a29722,a28492,a28565
a29723,a28492,a28590
a29724,a28468,a28558
a29725,a28477,a28518
a29726,a28457,a28507
a29727,a28427,a28588
a29728,a28457,a28596
a29729,a28494,a28575
a29730,a28476,a28547
a29731,a28420,a28598
a29732,a28464,a28579
a29733,a28422,a28534
a29734,a28443,a28599
a29735,a28496,a28569
a29736,a28488,a28510
a29737,a28414,a28556
a29738,a28458,a28509
a29739,a28445,a28584
a29740,a28456,a28591
a29741,a28492,a28507
a29742,a28463,a28584
a29743,a28464,a28508
a29744,a28435,a28586
a29745,a28461,a28537
a29746,a28440,a28533
a29747,a28433,a28533
a29748,a28418,a28536
a29749,a28476,a28592
a29750,a28500,a28503
a29751,a28429,a28507
a29752,a28438,a28581
a29753,a28498,a28556
a29754,a28496,a28541
a29755,a28428,a28575
a29756,a28500,a28546
a29757,a28490,a28559
a29758,a28468,a28553
a29759,a28470,a28537
a29760,a28451,a28506
a29761,a28417,a28549
